[epoch 143]train-acc:0.4979 train-loss:1.4  test-acc:0.2622 test-loss:2.34
[epoch 144]train-acc:0.4953 train-loss:1.41  test-acc:0.1003 test-loss:6.28
[epoch 145]train-acc:0.4946 train-loss:1.4  test-acc:0.11 test-loss:4.39
[epoch 146]train-acc:0.4957 train-loss:1.4  test-acc:0.1709 test-loss:3.16
[epoch 147]train-acc:0.4985 train-loss:1.39  test-acc:0.2113 test-loss:2.98
[epoch 148]train-acc:0.4972 train-loss:1.4  test-acc:0.319 test-loss:1.92
[epoch 149]train-acc:0.4969 train-loss:1.4  test-acc:0.1304 test-loss:4.13
[epoch 150]train-acc:0.5015 train-loss:1.39  test-acc:0.1422 test-loss:3.94
[epoch 151]train-acc:0.5025 train-loss:1.39  test-acc:0.2589 test-loss:1.99
[epoch 152]train-acc:0.4952 train-loss:1.41  test-acc:0.3342 test-loss:2.24
[epoch 153]train-acc:0.493 train-loss:1.41  test-acc:0.2098 test-loss:4.73
[epoch 154]train-acc:0.496 train-loss:1.4  test-acc:0.3267 test-loss:2.06
[epoch 155]train-acc:0.4998 train-loss:1.4  test-acc:0.2413 test-loss:2.41
[epoch 156]train-acc:0.4919 train-loss:1.41  test-acc:0.2048 test-loss:4.61
[epoch 157]train-acc:0.4894 train-loss:1.42  test-acc:0.237 test-loss:3.22
[epoch 158]train-acc:0.4829 train-loss:1.44  test-acc:0.1251 test-loss:3.97
[epoch 159]train-acc:0.4878 train-loss:1.42  test-acc:0.2389 test-loss:2.16
[epoch 160]train-acc:0.4836 train-loss:1.43  test-acc:0.199 test-loss:3.09
[epoch 161]train-acc:0.486 train-loss:1.43  test-acc:0.1033 test-loss:5.01
[epoch 162]train-acc:0.4831 train-loss:1.44  test-acc:0.1041 test-loss:5.32
[epoch 163]train-acc:0.4914 train-loss:1.42  test-acc:0.1955 test-loss:3.44
[epoch 164]train-acc:0.4948 train-loss:1.42  test-acc:0.1 test-loss:6.1
[epoch 165]train-acc:0.4892 train-loss:1.42  test-acc:0.1821 test-loss:4.02
[epoch 166]train-acc:0.489 train-loss:1.43  test-acc:0.1031 test-loss:4.03
[epoch 167]train-acc:0.481 train-loss:1.45  test-acc:0.3217 test-loss:2.16
[epoch 168]train-acc:0.4756 train-loss:1.45  test-acc:0.1387 test-loss:5.2
[epoch 169]train-acc:0.4706 train-loss:1.47  test-acc:0.1713 test-loss:3.18
[epoch 170]train-acc:0.4584 train-loss:1.5  test-acc:0.134 test-loss:3.19
[epoch 171]train-acc:0.4798 train-loss:1.44  test-acc:0.159 test-loss:3.41
[epoch 172]train-acc:0.4889 train-loss:1.42  test-acc:0.1112 test-loss:5.21
[epoch 173]train-acc:0.4938 train-loss:1.42  test-acc:0.2507 test-loss:2.56
[epoch 174]train-acc:0.4856 train-loss:1.43  test-acc:0.1006 test-loss:8.34
[epoch 175]train-acc:0.4842 train-loss:1.43  test-acc:0.2483 test-loss:2.42
[epoch 176]train-acc:0.4794 train-loss:1.45  test-acc:0.1285 test-loss:4.0
[epoch 177]train-acc:0.4922 train-loss:1.42  test-acc:0.181 test-loss:3.07
[epoch 178]train-acc:0.4914 train-loss:1.42  test-acc:0.2959 test-loss:2.41
[epoch 179]train-acc:0.4922 train-loss:1.41  test-acc:0.1816 test-loss:3.31
[epoch 180]train-acc:0.4911 train-loss:1.42  test-acc:0.1412 test-loss:2.74
[epoch 181]train-acc:0.4894 train-loss:1.43  test-acc:0.298 test-loss:2.47
[epoch 182]train-acc:0.4842 train-loss:1.44  test-acc:0.1144 test-loss:3.46
[epoch 183]train-acc:0.4662 train-loss:1.48  test-acc:0.2604 test-loss:2.26
[epoch 184]train-acc:0.4904 train-loss:1.42  test-acc:0.1869 test-loss:3.14
[epoch 185]train-acc:0.492 train-loss:1.41  test-acc:0.2429 test-loss:2.46
[epoch 186]train-acc:0.4955 train-loss:1.41  test-acc:0.2149 test-loss:2.67
[epoch 187]train-acc:0.4942 train-loss:1.4  test-acc:0.2055 test-loss:3.4
[epoch 188]train-acc:0.4993 train-loss:1.4  test-acc:0.1137 test-loss:4.44
[epoch 189]train-acc:0.5021 train-loss:1.4  test-acc:0.2961 test-loss:2.08
[epoch 190]train-acc:0.5004 train-loss:1.4  test-acc:0.24 test-loss:2.25
[epoch 191]train-acc:0.5001 train-loss:1.4  test-acc:0.2127 test-loss:3.91
[epoch 192]train-acc:0.4907 train-loss:1.43  test-acc:0.1054 test-loss:6.19
[epoch 193]train-acc:0.4916 train-loss:1.43  test-acc:0.2653 test-loss:2.49
[epoch 194]train-acc:0.4887 train-loss:1.43  test-acc:0.4139 test-loss:1.72
[epoch 195]train-acc:0.4915 train-loss:1.42  test-acc:0.1094 test-loss:4.29
[epoch 196]train-acc:0.5031 train-loss:1.4  test-acc:0.3385 test-loss:1.99
[epoch 197]train-acc:0.5022 train-loss:1.4  test-acc:0.2185 test-loss:3.08
[epoch 198]train-acc:0.5039 train-loss:1.4  test-acc:0.4056 test-loss:1.67
[epoch 199]train-acc:0.5014 train-loss:1.39  test-acc:0.2814 test-loss:2.26
[epoch 200]train-acc:0.5209 train-loss:1.34  test-acc:0.4741 test-loss:1.52
[epoch 201]train-acc:0.5259 train-loss:1.33  test-acc:0.3572 test-loss:1.86
[epoch 202]train-acc:0.5292 train-loss:1.33  test-acc:0.4629 test-loss:1.51
[epoch 203]train-acc:0.5288 train-loss:1.33  test-acc:0.378 test-loss:1.74
[epoch 204]train-acc:0.5289 train-loss:1.33  test-acc:0.3779 test-loss:1.94
[epoch 205]train-acc:0.5259 train-loss:1.33  test-acc:0.3811 test-loss:1.95
[epoch 206]train-acc:0.5243 train-loss:1.33  test-acc:0.3557 test-loss:1.94
[epoch 207]train-acc:0.5275 train-loss:1.33  test-acc:0.4066 test-loss:1.94
[epoch 208]train-acc:0.5275 train-loss:1.33  test-acc:0.3417 test-loss:2.15
[epoch 209]train-acc:0.5285 train-loss:1.32  test-acc:0.336 test-loss:2.06
[epoch 210]train-acc:0.5293 train-loss:1.32  test-acc:0.4871 test-loss:1.48
[epoch 211]train-acc:0.5324 train-loss:1.31  test-acc:0.4371 test-loss:1.54
[epoch 212]train-acc:0.525 train-loss:1.33  test-acc:0.1681 test-loss:3.69
[epoch 213]train-acc:0.5285 train-loss:1.32  test-acc:0.3185 test-loss:2.34
[epoch 214]train-acc:0.5282 train-loss:1.32  test-acc:0.4119 test-loss:1.81
[epoch 215]train-acc:0.5249 train-loss:1.33  test-acc:0.3126 test-loss:2.5
[epoch 216]train-acc:0.5206 train-loss:1.33  test-acc:0.4089 test-loss:1.8
[epoch 217]train-acc:0.5233 train-loss:1.33  test-acc:0.1412 test-loss:4.27
[epoch 218]train-acc:0.5297 train-loss:1.32  test-acc:0.1275 test-loss:4.78
[epoch 219]train-acc:0.5312 train-loss:1.31  test-acc:0.3733 test-loss:1.99
[epoch 220]train-acc:0.5345 train-loss:1.31  test-acc:0.306 test-loss:2.8
[epoch 221]train-acc:0.5351 train-loss:1.3  test-acc:0.2479 test-loss:2.33
[epoch 222]train-acc:0.5288 train-loss:1.32  test-acc:0.2723 test-loss:2.53
[epoch 223]train-acc:0.5147 train-loss:1.36  test-acc:0.3341 test-loss:2.09
[epoch 224]train-acc:0.524 train-loss:1.33  test-acc:0.2248 test-loss:2.39
[epoch 225]train-acc:0.5295 train-loss:1.31  test-acc:0.3174 test-loss:2.34
[epoch 226]train-acc:0.5316 train-loss:1.31  test-acc:0.1973 test-loss:4.18
[epoch 227]train-acc:0.5293 train-loss:1.32  test-acc:0.349 test-loss:2.45
[epoch 228]train-acc:0.5258 train-loss:1.33  test-acc:0.1969 test-loss:4.0
[epoch 229]train-acc:0.5205 train-loss:1.34  test-acc:0.2245 test-loss:3.0
[epoch 230]train-acc:0.5246 train-loss:1.33  test-acc:0.1899 test-loss:3.26
[epoch 231]train-acc:0.5189 train-loss:1.34  test-acc:0.1003 test-loss:6.49
[epoch 232]train-acc:0.5203 train-loss:1.34  test-acc:0.2234 test-loss:2.82
[epoch 233]train-acc:0.5178 train-loss:1.34  test-acc:0.2467 test-loss:3.26
[epoch 234]train-acc:0.5184 train-loss:1.35  test-acc:0.4382 test-loss:1.58
[epoch 235]train-acc:0.4949 train-loss:1.4  test-acc:0.1352 test-loss:3.71
[epoch 236]train-acc:0.4974 train-loss:1.4  test-acc:0.2846 test-loss:2.44
[epoch 237]train-acc:0.4949 train-loss:1.41  test-acc:0.1012 test-loss:4.77
[epoch 238]train-acc:0.4915 train-loss:1.42  test-acc:0.1051 test-loss:5.84
[epoch 239]train-acc:0.4861 train-loss:1.43  test-acc:0.1232 test-loss:5.01
[epoch 240]train-acc:0.4968 train-loss:1.4  test-acc:0.3892 test-loss:1.66
[epoch 241]train-acc:0.4956 train-loss:1.4  test-acc:0.2317 test-loss:3.05
[epoch 242]train-acc:0.4975 train-loss:1.4  test-acc:0.1987 test-loss:4.44
[epoch 243]train-acc:0.494 train-loss:1.4  test-acc:0.2805 test-loss:2.77
[epoch 244]train-acc:0.4985 train-loss:1.4  test-acc:0.2905 test-loss:2.31
[epoch 245]train-acc:0.4961 train-loss:1.4  test-acc:0.2094 test-loss:2.48
[epoch 246]train-acc:0.4785 train-loss:1.45  test-acc:0.2179 test-loss:3.68
[epoch 247]train-acc:0.4763 train-loss:1.45  test-acc:0.2558 test-loss:2.72
[epoch 248]train-acc:0.4893 train-loss:1.42  test-acc:0.2601 test-loss:4.32
[epoch 249]train-acc:0.4898 train-loss:1.42  test-acc:0.1607 test-loss:5.22
